FIPS,State,"County, State",Year,Overall Food Insecurity Rate (1 Year),# of Food Insecure Persons Overall (1 Year),Food Insecurity Rate among Black Persons (all ethnicities),Food Insecurity Rate among Hispanic Persons (any race),"Food Insecurity Rate among White, non-Hispanic Persons ",Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,Child Food Insecurity Rate (1 Year),# of Food Insecure Children (1 Year),% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Cost Per Meal (1 Year),Weighted weekly $ needed by FI,Weighted Annual Food Budget Shortfall
1069,AL,"Houston County, Alabama",2020,15.30%,"16,130",31%,15%,10%,130%,SNAP,185%,Other Nutrition Program,54.60%,17.10%,28.30%,21.70%,"5,280",83%,17%,$3.42 ,$18.16 ,"$8,883,000.00 "
1071,AL,"Jackson County, Alabama",2020,16.80%,"8,710",22%,23%,12%,130%,SNAP,185%,Other Nutrition Program,56.00%,28.70%,15.40%,18.00%,"1,950",100%,0%,$3.05 ,$16.18 ,"$4,276,000.00 "
1073,AL,"Jefferson County, Alabama",2020,14.10%,"93,140",27%,14%,9%,130%,SNAP,185%,Other Nutrition Program,53.00%,11.00%,36.00%,22.20%,"33,320",72%,28%,$3.50 ,$18.58 ,"$52,481,000.00 "
1075,AL,"Lamar County, Alabama",2020,17.10%,"2,380",34%,,12%,130%,SNAP,185%,Other Nutrition Program,49.70%,21.20%,29.10%,18.40%,560,74%,26%,$3.02 ,$16.03 ,"$1,157,000.00 "
1077,AL,"Lauderdale County, Alabama",2020,14.00%,"13,000",30%,10%,10%,130%,SNAP,185%,Other Nutrition Program,48.20%,24.90%,26.80%,15.30%,"2,800",100%,0%,$3.01 ,$15.98 ,"$6,300,000.00 "
1079,AL,"Lawrence County, Alabama",2020,16.30%,"5,380",23%,,12%,130%,SNAP,185%,Other Nutrition Program,54.20%,19.10%,26.70%,18.90%,"1,350",100%,0%,$3.08 ,$16.36 ,"$2,669,000.00 "
1081,AL,"Lee County, Alabama",2020,14.10%,"22,990",26%,13%,12%,130%,SNAP,185%,Other Nutrition Program,57.80%,15.40%,26.70%,16.00%,"5,520",87%,13%,$3.67 ,$19.47 ,"$13,580,000.00 "
1083,AL,"Limestone County, Alabama",2020,12.90%,"12,530",21%,14%,9%,130%,SNAP,185%,Other Nutrition Program,41.50%,18.40%,40.00%,14.30%,"3,120",85%,15%,$3.49 ,$18.51 ,"$7,035,000.00 "
1085,AL,"Lowndes County, Alabama",2020,20.10%,"2,000",28%,,7%,130%,SNAP,185%,Other Nutrition Program,83.40%,8.80%,7.80%,40.40%,900,82%,19%,$3.45 ,$18.29 ,"$1,110,000.00 "
1087,AL,"Macon County, Alabama",2020,16.40%,"3,030",27%,,14%,130%,SNAP,185%,Other Nutrition Program,65.30%,34.70%,0.00%,36.20%,"1,150",62%,38%,$3.62 ,$19.20 ,"$1,765,000.00 "
1089,AL,"Madison County, Alabama",2020,11.90%,"43,590",25%,14%,8%,130%,SNAP,185%,Other Nutrition Program,42.60%,13.80%,43.50%,14.80%,"11,920",71%,29%,$3.35 ,$17.75 ,"$23,476,000.00 "
1091,AL,"Marengo County, Alabama",2020,17.00%,"3,250",27%,,11%,130%,SNAP,185%,Other Nutrition Program,64.80%,12.50%,22.70%,28.90%,"1,290",73%,27%,$3.25 ,$17.26 ,"$1,701,000.00 "
1093,AL,"Marion County, Alabama",2020,17.70%,"5,290",48%,13%,13%,130%,SNAP,185%,Other Nutrition Program,55.70%,27.90%,16.50%,19.30%,"1,200",92%,8%,$3.02 ,$16.03 ,"$2,572,000.00 "
1095,AL,"Marshall County, Alabama",2020,15.20%,"14,630",29%,16%,11%,130%,SNAP,185%,Other Nutrition Program,51.20%,22.00%,26.80%,17.10%,"4,110",100%,0%,$3.06 ,$16.24 ,"$7,207,000.00 "
1097,AL,"Mobile County, Alabama",2020,15.70%,"65,050",29%,14%,10%,130%,SNAP,185%,Other Nutrition Program,55.60%,15.50%,28.90%,24.60%,"23,890",81%,19%,$3.34 ,$17.73 ,"$34,976,000.00 "
1099,AL,"Monroe County, Alabama",2020,18.30%,"3,840",36%,,12%,130%,SNAP,185%,Other Nutrition Program,60.90%,12.40%,26.70%,27.00%,"1,230",76%,24%,$3.12 ,$16.53 ,"$1,926,000.00 "
1101,AL,"Montgomery County, Alabama",2020,15.70%,"35,470",27%,16%,8%,130%,SNAP,185%,Other Nutrition Program,59.90%,5.10%,35.00%,29.00%,"15,460",71%,29%,$3.40 ,$18.04 ,"$19,408,000.00 "
1103,AL,"Morgan County, Alabama",2020,14.20%,"16,990",28%,14%,10%,130%,SNAP,185%,Other Nutrition Program,48.90%,21.80%,29.20%,16.80%,"4,600",93%,7%,$3.31 ,$17.56 ,"$9,047,000.00 "
1105,AL,"Perry County, Alabama",2020,22.90%,"2,090",30%,,14%,130%,SNAP,185%,Other Nutrition Program,87.70%,12.30%,0.00%,44.90%,870,81%,19%,$3.28 ,$17.42 ,"$1,104,000.00 "
1107,AL,"Pickens County, Alabama",2020,18.50%,"3,720",32%,,10%,130%,SNAP,185%,Other Nutrition Program,62.10%,9.90%,28.00%,30.80%,"1,220",77%,23%,$3.46 ,$18.38 ,"$2,074,000.00 "
1109,AL,"Pike County, Alabama",2020,15.10%,"5,040",29%,,11%,130%,SNAP,185%,Other Nutrition Program,64.40%,10.30%,25.30%,23.30%,"1,460",78%,22%,$3.55 ,$18.85 ,"$2,881,000.00 "
1111,AL,"Randolph County, Alabama",2020,15.10%,"3,430",23%,25%,10%,130%,SNAP,185%,Other Nutrition Program,49.30%,22.20%,28.50%,20.10%,970,86%,14%,$2.96 ,$15.69 ,"$1,632,000.00 "
1113,AL,"Russell County, Alabama",2020,16.80%,"9,730",26%,,12%,130%,SNAP,185%,Other Nutrition Program,61.20%,9.10%,29.70%,26.30%,"3,680",77%,23%,$3.18 ,$16.90 ,"$4,988,000.00 "
1115,AL,"St. Clair County, Alabama",2020,13.10%,"11,630",21%,14%,9%,130%,SNAP,185%,Other Nutrition Program,39.80%,21.00%,39.20%,13.30%,"2,670",81%,19%,$3.49 ,$18.50 ,"$6,528,000.00 "
1117,AL,"Shelby County, Alabama",2020,9.60%,"20,860",19%,8%,7%,130%,SNAP,185%,Other Nutrition Program,30.30%,18.20%,51.50%,8.50%,"4,300",73%,27%,$3.69 ,$19.56 ,"$12,377,000.00 "
1119,AL,"Sumter County, Alabama",2020,18.70%,"2,360",28%,,16%,130%,SNAP,185%,Other Nutrition Program,77.80%,22.20%,0.00%,36.70%,890,70%,30%,$3.14 ,$16.66 ,"$1,193,000.00 "
1121,AL,"Talladega County, Alabama",2020,16.50%,"13,220",27%,,11%,130%,SNAP,185%,Other Nutrition Program,57.50%,19.30%,23.20%,24.10%,"4,100",81%,19%,$3.16 ,$16.75 ,"$6,717,000.00 "
1123,AL,"Tallapoosa County, Alabama",2020,15.90%,"6,420",31%,10%,12%,130%,SNAP,185%,Other Nutrition Program,55.00%,21.90%,23.10%,24.90%,"2,090",90%,10%,$3.33 ,$17.68 ,"$3,444,000.00 "
1125,AL,"Tuscaloosa County, Alabama",2020,14.30%,"29,840",28%,13%,10%,130%,SNAP,185%,Other Nutrition Program,52.70%,15.00%,32.30%,20.50%,"8,990",76%,24%,$3.60 ,$19.12 ,"$17,311,000.00 "
1127,AL,"Walker County, Alabama",2020,17.30%,"11,040",29%,18%,13%,130%,SNAP,185%,Other Nutrition Program,53.80%,23.70%,22.50%,19.50%,"2,760",89%,11%,$3.03 ,$16.11 ,"$5,394,000.00 "
1129,AL,"Washington County, Alabama",2020,15.00%,"2,460",23%,,9%,130%,SNAP,185%,Other Nutrition Program,63.30%,14.80%,21.90%,20.10%,700,92%,9%,$3.02 ,$16.03 ,"$1,196,000.00 "
1131,AL,"Wilcox County, Alabama",2020,21.50%,"2,270",32%,,9%,130%,SNAP,185%,Other Nutrition Program,78.40%,21.60%,0.00%,42.30%,"1,060",83%,18%,$3.12 ,$16.56 ,"$1,140,000.00 "
1133,AL,"Winston County, Alabama",2020,17.00%,"4,020",,13%,13%,130%,SNAP,185%,Other Nutrition Program,52.10%,34.40%,13.50%,18.10%,880,100%,0%,$3.00 ,$15.90 ,"$1,939,000.00 "
2013,AK,"Aleutians East Borough, Alaska",2020,9.80%,330,,,,130%,SNAP,185%,Other Nutrition Program,61.10%,21.80%,17.10%,14.40%,60,89%,11%,$4.42 ,$23.46 ,"$235,000.00 "
2016,AK,"Aleutians West Census Area, Alaska",2020,10.10%,570,,14%,8%,130%,SNAP,185%,Other Nutrition Program,35.20%,17.00%,47.70%,12.70%,130,67%,33%,$4.42 ,$23.46 ,"$406,000.00 "
2020,AK,"Anchorage Municipality, Alaska",2020,10.00%,"29,270",19%,15%,6%,130%,SNAP,185%,Other Nutrition Program,46.00%,16.70%,37.40%,14.10%,"10,000",72%,28%,$4.13 ,$21.91 ,"$19,457,000.00 "
2050,AK,"Bethel Census Area, Alaska",2020,20.40%,"3,720",,,7%,130%,SNAP,185%,Other Nutrition Program,85.00%,11.60%,3.30%,25.80%,"1,680",100%,0%,$4.69 ,$24.87 ,"$2,806,000.00 "
2060,AK,"Bristol Bay Borough, Alaska",2020,10.80%,80,,,,130%,SNAP,185%,Other Nutrition Program,27.60%,14.10%,58.30%,13.90%,20,58%,42%,$4.42 ,$23.46 ,"$57,000.00 "
2068,AK,"Denali Borough, Alaska",2020,16.20%,410,,,6%,130%,SNAP,185%,Other Nutrition Program,57.50%,18.00%,24.50%,16.30%,40,13%,87%,$4.01 ,$21.27 ,"$265,000.00 "
2070,AK,"Dillingham Census Area, Alaska",2020,14.60%,720,,,6%,130%,SNAP,185%,Other Nutrition Program,67.50%,32.50%,0.00%,19.30%,300,100%,0%,$4.69 ,$24.87 ,"$543,000.00 "
2090,AK,"Fairbanks North Star Borough, Alaska",2020,9.20%,"9,040",22%,15%,7%,130%,SNAP,185%,Other Nutrition Program,41.80%,21.60%,36.60%,12.70%,"3,000",71%,29%,$4.01 ,$21.27 ,"$5,832,000.00 "
2100,AK,"Haines Borough, Alaska",2020,17.00%,430,,,11%,130%,SNAP,185%,Other Nutrition Program,55.70%,8.60%,35.70%,22.90%,200,45%,55%,$3.89 ,$20.65 ,"$269,000.00 "
2105,AK,"Hoonah-Angoon Census Area, Alaska",2020,14.10%,300,,,7%,130%,SNAP,185%,Other Nutrition Program,53.90%,26.80%,19.30%,22.10%,60,100%,0%,$3.93 ,$20.85 ,"$190,000.00 "
2110,AK,"Juneau City and Borough, Alaska",2020,9.30%,"2,980",,19%,6%,130%,SNAP,185%,Other Nutrition Program,37.40%,11.10%,51.50%,11.50%,790,51%,49%,$3.87 ,$20.55 ,"$1,858,000.00 "
2122,AK,"Kenai Peninsula Borough, Alaska",2020,12.80%,"7,550",,16%,10%,130%,SNAP,185%,Other Nutrition Program,53.90%,14.80%,31.30%,17.90%,"2,360",81%,19%,$4.55 ,$24.16 ,"$5,534,000.00 "
2130,AK,"Ketchikan Gateway Borough, Alaska",2020,12.20%,"1,690",,15%,7%,130%,SNAP,185%,Other Nutrition Program,43.00%,18.60%,38.40%,17.30%,520,67%,33%,$3.78 ,$20.06 ,"$1,029,000.00 "
2150,AK,"Kodiak Island Borough, Alaska",2020,9.90%,"1,330",,13%,7%,130%,SNAP,185%,Other Nutrition Program,39.60%,22.40%,38.00%,12.40%,420,70%,30%,$4.42 ,$23.46 ,"$946,000.00 "
2158,AK,"Kusilvak Census Area, Alaska",2020,26.80%,"2,230",,,,130%,SNAP,185%,Other Nutrition Program,96.60%,3.40%,0.00%,35.00%,"1,180",100%,0%,$4.42 ,$23.46 ,"$1,587,000.00 "
2164,AK,"Lake and Peninsula Borough, Alaska",2020,15.00%,170,,,,130%,SNAP,185%,Other Nutrition Program,70.70%,17.70%,11.60%,22.60%,70,93%,7%,$4.42 ,$23.46 ,"$121,000.00 "
2170,AK,"Matanuska-Susitna Borough, Alaska",2020,11.10%,"11,920",9%,16%,9%,130%,SNAP,185%,Other Nutrition Program,48.10%,15.20%,36.60%,14.50%,"4,160",65%,35%,$4.28 ,$22.72 ,"$8,215,000.00 "
2180,AK,"Nome Census Area, Alaska",2020,16.90%,"1,690",,,4%,130%,SNAP,185%,Other Nutrition Program,71.00%,16.90%,12.10%,21.10%,730,98%,3%,$4.21 ,$22.33 ,"$1,145,000.00 "
2185,AK,"North Slope Borough, Alaska",2020,11.00%,"1,030",,,,130%,SNAP,185%,Other Nutrition Program,47.90%,18.90%,33.20%,13.90%,340,92%,8%,$4.01 ,$21.27 ,"$664,000.00 "
2188,AK,"Northwest Arctic Borough, Alaska",2020,18.20%,"1,400",,,7%,130%,SNAP,185%,Other Nutrition Program,75.70%,16.80%,7.50%,23.40%,640,100%,0%,$4.01 ,$21.27 ,"$903,000.00 "
2195,AK,"Petersburg Borough, Alaska",2020,11.10%,360,,,8%,130%,SNAP,185%,Other Nutrition Program,32.80%,18.00%,49.20%,16.30%,90,49%,52%,$3.91 ,$20.75 ,"$227,000.00 "
2198,AK,"Prince of Wales-Hyder Census Area, Alaska",2020,16.50%,"1,050",,,12%,130%,SNAP,185%,Other Nutrition Program,68.10%,11.00%,20.90%,22.90%,330,81%,19%,$3.69 ,$19.57 ,"$623,000.00 "
2220,AK,"Sitka City and Borough, Alaska",2020,10.00%,860,,13%,6%,130%,SNAP,185%,Other Nutrition Program,40.10%,13.00%,46.80%,13.90%,250,67%,33%,$3.91 ,$20.75 ,"$541,000.00 "
2230,AK,"Skagway Municipality, Alaska",2020,16.70%,220,,,9%,130%,SNAP,185%,Other Nutrition Program,31.20%,8.10%,60.70%,26.30%,50,30%,70%,$3.87 ,$20.55 ,"$137,000.00 "
2240,AK,"Southeast Fairbanks Census Area, Alaska",2020,12.00%,830,,,10%,130%,SNAP,185%,Other Nutrition Program,52.30%,22.00%,25.70%,15.50%,280,55%,45%,$4.01 ,$21.27 ,"$535,000.00 "
2275,AK,"Wrangell City and Borough, Alaska",2020,11.10%,280,,,8%,130%,SNAP,185%,Other Nutrition Program,51.50%,36.10%,12.40%,17.60%,90,93%,7%,$3.95 ,$20.94 ,"$178,000.00 "
2282,AK,"Yakutat City and Borough, Alaska",2020,10.30%,60,,,,130%,SNAP,185%,Other Nutrition Program,44.70%,55.30%,0.00%,15.70%,20,100%,0%,$3.87 ,$20.55 ,"$37,000.00 "
2290,AK,"Yukon-Koyukuk Census Area, Alaska",2020,18.50%,980,,,9%,130%,SNAP,185%,Other Nutrition Program,72.00%,19.40%,8.70%,26.20%,390,89%,11%,$4.01 ,$21.27 ,"$632,000.00 "
4001,AZ,"Apache County, Arizona",2020,22.60%,"16,230",,18%,9%,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",78.80%,,21.20%,29.90%,"5,750",88%,13%,$3.41 ,$18.10 ,"$8,913,000.00 "
4003,AZ,"Cochise County, Arizona",2020,12.60%,"15,880",18%,19%,10%,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",73.00%,,27.00%,19.90%,"5,410",80%,21%,$3.12 ,$16.54 ,"$7,965,000.00 "
4005,AZ,"Coconino County, Arizona",2020,14.60%,"20,730",32%,16%,10%,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",65.80%,,34.20%,18.50%,"5,380",72%,28%,$3.42 ,$18.16 ,"$11,422,000.00 "
4007,AZ,"Gila County, Arizona",2020,15.90%,"8,550",,18%,10%,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",71.00%,,29.00%,23.60%,"2,530",73%,27%,$3.29 ,$17.47 ,"$4,532,000.00 "
4009,AZ,"Graham County, Arizona",2020,13.80%,"5,300",,18%,10%,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",65.30%,,34.70%,18.30%,"1,880",78%,22%,$3.14 ,$16.66 ,"$2,678,000.00 "
4011,AZ,"Greenlee County, Arizona",2020,10.80%,"1,020",,14%,10%,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",59.40%,,40.60%,16.20%,420,58%,42%,$3.14 ,$16.66 ,"$515,000.00 "
4012,AZ,"La Paz County, Arizona",2020,17.50%,"3,680",,20%,13%,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",82.60%,,17.40%,26.60%,900,74%,26%,$3.27 ,$17.35 ,"$1,936,000.00 "
4013,AZ,"Maricopa County, Arizona",2020,11.00%,"487,340",23%,17%,7%,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",62.90%,,37.10%,16.80%,"176,140",71%,30%,$3.36 ,$17.84 ,"$263,754,000.00 "
4015,AZ,"Mohave County, Arizona",2020,16.40%,"34,670",24%,18%,12%,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",69.60%,,30.40%,24.60%,"8,850",75%,25%,$3.26 ,$17.31 ,"$18,203,000.00 "
4017,AZ,"Navajo County, Arizona",2020,19.20%,"21,160",20%,21%,11%,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",77.70%,,22.30%,26.10%,"7,600",82%,19%,$3.16 ,$16.78 ,"$10,770,000.00 "
4019,AZ,"Pima County, Arizona",2020,12.60%,"130,860",23%,18%,10%,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",71.30%,,28.70%,19.40%,"41,880",74%,26%,$3.31 ,$17.57 ,"$69,735,000.00 "
4021,AZ,"Pinal County, Arizona",2020,11.10%,"49,680",18%,16%,8%,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",64.30%,,35.70%,17.30%,"17,490",71%,29%,$3.19 ,$16.93 ,"$25,512,000.00 "
4023,AZ,"Santa Cruz County, Arizona",2020,14.00%,"6,540",,20%,7%,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",98.90%,,1.10%,24.00%,"3,030",90%,10%,$2.72 ,$14.42 ,"$2,860,000.00 "
4025,AZ,"Yavapai County, Arizona",2020,13.00%,"30,260",25%,16%,10%,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",64.30%,,35.70%,17.90%,"6,740",67%,34%,$3.51 ,$18.63 ,"$17,104,000.00 "
4027,AZ,"Yuma County, Arizona",2020,16.20%,"34,400",23%,18%,10%,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",87.20%,,12.80%,28.30%,"15,110",83%,17%,$2.86 ,$15.18 ,"$15,843,000.00 "
5001,AR,"Arkansas County, Arkansas",2020,14.70%,"2,610",26%,15%,12%,130%,SNAP,185%,Other Nutrition Program,58.20%,9.30%,32.50%,20.90%,850,70%,30%,$3.02 ,$16.04 ,"$1,270,000.00 "
5003,AR,"Ashley County, Arkansas",2020,16.70%,"3,330",21%,,13%,130%,SNAP,185%,Other Nutrition Program,67.80%,16.50%,15.80%,24.50%,"1,120",82%,18%,$3.07 ,$16.30 ,"$1,646,000.00 "
5005,AR,"Baxter County, Arkansas",2020,15.70%,"6,540",,17%,14%,130%,SNAP,185%,Other Nutrition Program,48.90%,24.70%,26.40%,18.90%,"1,370",81%,19%,$3.21 ,$17.04 ,"$3,379,000.00 "
